Module,Script,Status,Run_date,Input,Output,Notes
Figure generation,Supplementary Figure S4.R,PASS,2026/9/11,results/tables/state_scoring_robustness/scoring_method_concordance_vs_primary.csv,results/figures/state_scoring_robustness/Supplementary Figure S4. Robustness of predefined tumor–immune state scoring.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S5.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_major_annotated.rds,Supplementary Figure S5 PNG/JPG/PDF outputs,Clean sequential execution PASS.
Figure generation,Supplementary Figure S6.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_major_annotated.rds,results/figures/supplementary/Supplementary Figure S6. Cell-type composition by sample in GSE244983.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S7.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_state_localized.rds,results/figures/supplementary/Supplementary Figure S7. Distribution of tumor–immune state scores across major cell types in GSE244983.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S8.R,PASS,2026/9/11,Canonical S8 reporting sources defined in script (paths not echoed by runner),Supplementary Figure S8 export outputs,v2.1.4.2 export completed; clean sequential execution PASS.
Figure generation,Supplementary Figure S9.R,PASS,2026/9/11,results/intermediate/GSE244983/GSE244983_seurat_state_localized.rds,results/figures/supplementary/Supplementary Figure S9. Extended CAF-stromal marker dot plots in GSE244983.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S10.R,PASS,2026/9/11,Canonical S10 reporting sources defined in script (paths not echoed by runner),Supplementary Figure S10 export outputs,v2.3.3 FINAL layout polish completed; clean sequential execution PASS.
Figure generation,Supplementary Figure S11.R,PASS,2026/9/11,GSE78220 fragility-audit reporting sources defined in script,results/figures/supplementary/Supplementary Figure S11. Fragility audit of GSE78220 response association.png; .jpg; .pdf,Clean sequential execution PASS. Non-blocking height-to-width translation messages emitted.
Figure generation,Supplementary Figure S12.R,PASS,2026/9/11,Composition-aware bulk state-score/response reporting sources defined in script,results/figures/supplementary/Supplementary Figure S12. Composition-aware audit of bulk state scores and response association.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S13.R,PASS,2026/9/11,Composition-adjusted response and LOSO reporting sources defined in script,results/figures/supplementary/Supplementary Figure S13. Formal composition-adjusted response analysis and leave-one-sample-out stability assessment in bulk ICB cohorts.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S14.R,PASS,2026/9/11,results/tables/spatial_melanoma_validation/Step11_spatial_QC_state_Spearman_correlation.csv; results/tables/spatial_melanoma_validation/Step11_spatial_raw_vs_QCresidual_state_correlation.csv,results/figures/supplementary/Supplementary Figure S14. Spatial QC-state correlation and QC-residualization sensitivity analysis.png; .jpg; .pdf,Clean sequential execution PASS.
Figure generation,Supplementary Figure S15.R,PASS,2026/9/11,results/tables/spatial_melanoma_validation/Step11_spatial_analysis_metadata_with_coordinates_and_scores.csv; Step11_spatial_Morans_I_raw_and_QCresidual.csv; Step11_spatial_high_state_neighbor_enrichment_top25_pooled.csv,Supplementary Figure S15 outputs,Clean sequential execution PASS; dominant state derived dynamically from four state-score columns.
Figure generation,Supplementary Figure S16.R,PASS,2026/9/11,results/tables/spatial_melanoma_validation/Step11A_spatial_final_four_ICB_state_scores.csv; results/tables/spatial_melanoma_validation/Step11_spatial_dual_high_threshold_sensitivity_OR.csv,results/figures/supplementary/Supplementary Figure S16. Threshold-independent spatial co-variation between myeloid–Treg and dedifferentiation-stromal scores in Visium.png; .jpg; .pdf; Supplementary_Figure_S16_threshold_independent_spatial_covariation_REVIEWER_FIXED_v3_300dpi_audit.csv,Clean sequential execution PASS after canonical input-path correction.
Figure generation,Supplementary Figure S17.R,PASS,2026/9/11,results/tables/revision_visium_composition/18E_Visium_spot_state_composition_residualized_scores.csv; results/tables/revision_visium_composition/18E_raw_vs_residualized_dual_high_Fisher_OR.csv,results/figures/supplementary/Supplementary Figure S17. Composition-aware analysis of Visium dual-high tissue regions.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS. Non-blocking height-to-width translation messages emitted.
Figure generation,Supplementary Figure S18.R,PASS,2026/9/11,Composition/permutation-supported Visium sensitivity sources defined in script,results/figures/supplementary/Supplementary Figure S18. Composition-aware and permutation-supported spatial sensitivity analysis of Visium state-score co-variation.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS.
Figure generation,Supplementary Figure S19.R,PASS,2026/9/11,results/tables/revision_humoral_TLS_like/18F_Visium_TLS_like_operational_cohigh_table.csv,results/figures/supplementary/Supplementary Figure S19. Humoral and TLS-like spatial context in Visium dual-high regions.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS.
Figure generation,Supplementary Figure S20.R,PASS,2026/9/11,External melanoma spatial recurrence sources defined in script,results/figures/supplementary/Supplementary Figure S20. External melanoma spatial recurrence audits of composition-linked co-variation.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS.
Figure generation,Supplementary Figure S21.R,PASS,2026/9/11,results/tables/CosMx_metadata_QC/CosMx_state_dual_high_with_coordinates_AND_metadata_QC.csv,results/figures/supplementary/Supplementary Figure S21. CosMx coordinate matching and state remapping overview.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS; canonical candidate selected by script.
Figure generation,Supplementary Figure S22.R,PASS,2026/9/11,results/tables/CosMx_metadata_QC/CosMx_state_dual_high_with_coordinates_AND_metadata_QC.csv,results/figures/supplementary/Supplementary Figure S22. CosMx cell-level dual-high co-localization and threshold sensitivity analysis.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS; canonical candidate selected by script.
Figure generation,Supplementary Figure S23.R,PASS,2026/9/11,IF/mIF protein-state correlation reporting sources defined in script,results/figures/supplementary/Supplementary Figure S23. IF-mIF protein-state correlation analysis.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS.
Figure generation,Supplementary Figure S24.R,PASS,2026/9/11,CellChat candidate ligand-receptor reporting sources defined in script,results/figures/supplementary/Supplementary Figure S24. CellChat-based nomination of candidate ligand–receptor axes.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS.
Figure generation,Supplementary Figure S25.R,PASS,2026/9/11,CosMx spatial proximity-constrained LR reporting sources defined in script,results/figures/supplementary/Supplementary Figure S25. CosMx spatial proximity-constrained analysis of CellChat-nominated ligand–receptor axes.png; .jpg; .pdf; audit CSV,Clean sequential execution PASS.
Figure generation,Supplementary Figure S26.R,PASS,2026/9/11,kNN sensitivity reporting sources defined in script,results/figures/supplementary/Supplementary_Figure_S26_kNN_sensitivity_summary_audit.csv; Supplementary Figure S26 reporting output,Clean sequential execution PASS.
Figure generation,Supplementary Figure S29.R,PASS,2026/9/11,S29 canonical patient-level robustness reporting sources defined in script,Supplementary Figure S29 reporting outputs,Clean sequential execution PASS; max patient-state mean diff = 2.220446e-16.
Figure generation,Supplementary Figure S30.R,PASS,2026/9/11,results/reporting/additional_robustness/S30_cross_cohort,results/figures/supplementary/Supplementary Figure S30 output,Clean sequential execution PASS; exported successfully.
